year,공고수,언급%,제공%,거절%,언급중_거절%,언급%_±
2011,1533,7.1,0.4,0.2,3.0,1.3
2012,2594,10.5,0.8,1.1,10.0,1.2
2013,3432,9.2,0.6,0.8,9.0,1.0
2014,4317,9.8,0.9,0.9,9.0,0.9
2015,5853,11.1,1.7,0.9,8.0,0.8
2016,8035,11.2,1.2,0.8,7.0,0.7
2017,9430,12.9,1.3,1.3,10.0,0.7
2018,9691,13.5,1.5,1.9,14.0,0.7
2019,8439,12.7,1.5,1.3,10.0,0.7
2020,7126,10.0,1.4,1.0,10.0,0.7
2021,10286,7.2,1.3,1.0,14.0,0.5
2022,7585,7.6,1.5,0.8,11.0,0.6
2023,4175,8.4,1.3,1.4,17.0,0.8
2024,3937,7.3,1.1,2.0,27.0,0.8
2025,4050,4.9,1.0,1.6,33.0,0.7
2026,2247,6.7,1.3,2.7,40.0,1.0
