month,구인,구직,구인/구직
2014-07,418.0,200.0,2.09
2014-08,477.0,295.0,1.62
2014-09,279.0,209.0,1.33
2014-10,351.0,130.0,2.7
2014-11,340.0,129.0,2.64
2014-12,463.0,188.0,2.46
2015-01,271.0,90.0,3.01
2015-02,493.0,156.0,3.16
2015-03,505.0,168.0,3.01
2015-06,586.0,255.0,2.3
2015-07,835.0,138.0,6.05
2015-08,785.0,165.0,4.76
2015-09,699.0,170.0,4.11
2015-10,620.0,87.0,7.13
2015-11,701.0,90.0,7.79
2015-12,358.0,91.0,3.93
2016-01,372.0,102.0,3.65
2016-02,648.0,119.0,5.45
2016-03,665.0,190.0,3.5
2016-04,593.0,258.0,2.3
2016-05,666.0,157.0,4.24
2016-06,772.0,217.0,3.56
2016-07,686.0,189.0,3.63
2016-08,736.0,115.0,6.4
2016-09,642.0,154.0,4.17
2016-10,784.0,235.0,3.34
2016-11,838.0,227.0,3.69
2016-12,633.0,113.0,5.6
2017-01,614.0,248.0,2.48
2017-02,940.0,98.0,9.59
2017-03,785.0,106.0,7.41
2017-04,711.0,150.0,4.74
2017-05,829.0,210.0,3.95
2017-06,730.0,85.0,8.59
2017-07,756.0,91.0,8.31
2017-08,722.0,194.0,3.72
2017-09,779.0,96.0,8.11
2017-10,884.0,100.0,8.84
2017-11,904.0,117.0,7.73
2017-12,776.0,62.0,12.52
2018-01,663.0,76.0,8.72
2018-02,788.0,71.0,11.1
2018-03,866.0,76.0,11.39
2018-04,840.0,128.0,6.56
2018-05,972.0,62.0,15.68
2018-06,761.0,80.0,9.51
2018-07,733.0,104.0,7.05
2018-08,867.0,77.0,11.26
2018-09,691.0,64.0,10.8
2018-10,894.0,101.0,8.85
2018-11,860.0,130.0,6.62
2018-12,756.0,147.0,5.14
2019-01,765.0,216.0,3.54
2019-02,692.0,164.0,4.22
2019-03,747.0,197.0,3.79
2019-04,740.0,275.0,2.69
2019-05,816.0,232.0,3.52
2019-06,660.0,197.0,3.35
2019-07,757.0,418.0,1.81
2019-08,727.0,243.0,2.99
2019-09,607.0,152.0,3.99
2019-10,718.0,335.0,2.14
2019-11,626.0,226.0,2.77
2019-12,584.0,215.0,2.72
2020-01,574.0,223.0,2.57
2020-02,579.0,212.0,2.73
2020-03,644.0,673.0,0.96
2020-04,457.0,472.0,0.97
2020-05,500.0,298.0,1.68
2020-06,506.0,288.0,1.76
2020-07,538.0,245.0,2.2
2020-08,641.0,376.0,1.7
2020-09,600.0,309.0,1.94
2020-10,710.0,263.0,2.7
2020-11,692.0,235.0,2.94
2020-12,685.0,249.0,2.75
2021-01,703.0,256.0,2.75
2021-02,937.0,216.0,4.34
2021-03,903.0,203.0,4.45
2021-04,876.0,191.0,4.59
2021-05,843.0,182.0,4.63
2021-06,966.0,196.0,4.93
2021-07,878.0,147.0,5.97
2021-08,833.0,196.0,4.25
2021-09,897.0,193.0,4.65
2021-10,770.0,174.0,4.43
2021-11,942.0,217.0,4.34
2021-12,738.0,177.0,4.17
2022-01,661.0,198.0,3.34
2022-02,800.0,230.0,3.48
2022-03,784.0,228.0,3.44
2022-04,743.0,158.0,4.7
2022-05,756.0,248.0,3.05
2022-06,723.0,203.0,3.56
2022-07,523.0,216.0,2.42
2022-08,631.0,259.0,2.44
2022-09,503.0,281.0,1.79
2022-10,456.0,252.0,1.81
2022-11,524.0,296.0,1.77
2022-12,481.0,182.0,2.64
2023-01,364.0,361.0,1.01
2023-02,436.0,359.0,1.21
2023-03,406.0,376.0,1.08
2023-04,353.0,442.0,0.8
2023-05,342.0,344.0,0.99
2023-06,331.0,404.0,0.82
2023-07,306.0,339.0,0.9
2023-08,344.0,439.0,0.78
2023-09,296.0,378.0,0.78
2023-10,321.0,469.0,0.68
2023-11,362.0,363.0,1.0
2023-12,314.0,380.0,0.83
2024-01,278.0,450.0,0.62
2024-02,342.0,443.0,0.77
2024-03,300.0,415.0,0.72
2024-04,291.0,427.0,0.68
2024-05,398.0,431.0,0.92
2024-06,341.0,446.0,0.76
2024-07,380.0,473.0,0.8
2024-08,325.0,375.0,0.87
2024-09,304.0,412.0,0.74
2024-10,330.0,413.0,0.8
2024-11,318.0,345.0,0.92
2024-12,330.0,399.0,0.83
2025-01,276.0,368.0,0.75
2025-02,396.0,460.0,0.86
2025-03,354.0,451.0,0.78
2025-04,308.0,283.0,1.09
2025-05,301.0,352.0,0.86
2025-06,361.0,372.0,0.97
2025-07,333.0,354.0,0.94
2025-08,307.0,336.0,0.91
2025-09,300.0,343.0,0.87
2025-10,341.0,357.0,0.96
2025-11,394.0,420.0,0.94
2025-12,379.0,402.0,0.94
2026-01,258.0,394.0,0.65
2026-02,415.0,532.0,0.78
2026-03,322.0,411.0,0.78
2026-04,334.0,393.0,0.85
2026-05,327.0,527.0,0.62
2026-06,318.0,564.0,0.56
